group_id,long_weekend_days,strategy_weekend_days,cost_days,long_weekend_dist,days_weekenddays_diff,days_strategy_diff
21094,6,9,3,-7,4.0,1.0
16250,6,9,3,-7,3.0,0.0
15594,6,9,3,-6,3.0,0.0
26787,6,9,3,-3,6.0,3.0
50857,6,9,3,-2,4.0,1.0
20332,6,9,3,-2,2.0,-1.0
3012,6,9,3,-2,4.0,1.0
18913,6,9,3,-1,4.0,1.0
5279,6,9,3,-1,4.0,1.0
12961,6,9,3,0,6.0,3.0
49131,6,9,3,0,6.0,3.0
55956,6,9,3,0,1.0,-2.0
47384,6,9,3,0,4.0,1.0
18087,6,9,3,0,3.0,0.0
37462,6,9,3,1,3.0,0.0
46635,6,9,3,6,3.0,0.0
53738,6,9,3,6,4.0,1.0
58020,6,9,3,7,4.0,1.0
41112,6,9,3,7,6.0,3.0
60486,6,9,3,7,4.0,1.0
56474,6,9,3,8,3.0,0.0
31259,6,9,3,14,6.0,3.0
51355,6,9,3,14,1.0,-2.0
22138,6,9,3,14,4.0,1.0
55681,6,9,3,14,4.0,1.0
29436,6,9,3,14,4.0,1.0
55796,6,9,3,15,3.0,0.0
22800,6,9,3,19,4.0,1.0
19960,6,9,3,19,4.0,1.0
29750,6,9,3,20,3.0,0.0
939,6,9,3,21,6.0,3.0
17740,6,9,3,21,3.0,0.0
25611,6,9,3,22,4.0,1.0
16311,6,9,3,22,3.0,0.0
39127,6,9,3,26,4.0,1.0
43349,6,9,3,26,2.0,-1.0
49445,6,9,3,27,4.0,1.0
66352,6,9,3,27,4.0,1.0
56971,6,9,3,28,4.0,1.0
65134,6,9,3,28,4.0,1.0
45124,6,9,3,29,4.0,1.0
63347,6,9,3,29,3.0,0.0
45392,6,9,3,33,4.0,1.0
46218,6,9,3,34,3.0,0.0
52378,6,9,3,34,4.0,1.0
62018,6,9,3,34,3.0,0.0
20660,6,9,3,35,4.0,1.0
42482,6,9,3,35,4.0,1.0
6381,6,9,3,35,4.0,1.0
64240,6,9,3,35,1.0,-2.0
66091,6,9,3,35,3.0,0.0
47373,6,9,3,36,4.0,1.0
20368,6,9,3,39,1.0,-2.0
60143,6,9,3,40,4.0,1.0
5539,6,9,3,41,4.0,1.0
32672,6,9,3,41,1.0,-2.0
56721,6,9,3,41,3.0,0.0
67226,6,9,3,42,6.0,3.0
44981,6,9,3,42,4.0,1.0
53405,6,9,3,43,1.0,-2.0
2038,6,9,3,44,4.0,1.0
55446,6,9,3,47,4.0,1.0
49213,6,9,3,47,4.0,1.0
36801,6,9,3,48,4.0,1.0
3318,6,9,3,48,3.0,0.0
5076,6,9,3,48,3.0,0.0
64203,6,9,3,49,4.0,1.0
10576,6,9,3,49,6.0,3.0
62975,6,9,3,49,1.0,-2.0
62175,6,9,3,49,4.0,1.0
12684,6,9,3,50,4.0,1.0
4322,6,9,3,50,4.0,1.0
33115,6,9,3,50,3.0,0.0
36105,6,9,3,55,4.0,1.0
52042,6,9,3,55,3.0,0.0
55467,6,9,3,55,3.0,0.0
62951,6,9,3,56,4.0,1.0
55892,6,9,3,57,3.0,0.0
23163,6,9,3,57,3.0,0.0
12007,6,9,3,60,1.0,-2.0
35475,6,9,3,61,4.0,1.0
59785,6,9,3,62,4.0,1.0
24620,6,9,3,62,3.0,0.0
34462,6,9,3,63,4.0,1.0
3223,6,9,3,63,1.0,-2.0
52239,6,9,3,64,3.0,0.0
66432,6,9,3,64,3.0,0.0
47819,1,7,2,-62,9.0,3.0
22664,1,7,2,-62,9.0,3.0
66866,1,7,2,-61,9.0,3.0
19056,1,7,2,-60,11.0,5.0
42485,1,7,2,-60,8.0,2.0
41296,1,7,2,-60,8.0,2.0
63140,1,7,2,-60,9.0,3.0
59848,1,7,2,-60,11.0,5.0
1535,1,7,2,-60,8.0,2.0
49484,1,7,2,-59,9.0,3.0
56055,1,7,2,-59,8.0,2.0
55434,1,7,2,-59,8.0,2.0
22642,1,7,2,-53,9.0,3.0
58935,1,7,2,-53,11.0,5.0
59630,1,7,2,-53,6.0,0.0
44444,1,7,2,-52,8.0,2.0
51142,1,7,2,-48,9.0,3.0
64456,1,7,2,-48,9.0,3.0
65328,1,7,2,-47,9.0,3.0
47747,1,7,2,-47,9.0,3.0
10498,1,7,2,-47,8.0,2.0
4429,1,7,2,-46,8.0,2.0
37009,1,7,2,-46,8.0,2.0
56930,1,7,2,-46,9.0,3.0
811,1,7,2,-45,8.0,2.0
36682,1,7,2,-40,9.0,3.0
8486,1,7,2,-40,9.0,3.0
5140,1,7,2,-40,8.0,2.0
58187,1,7,2,-39,11.0,5.0
26471,1,7,2,-39,6.0,0.0
817,1,7,2,-39,9.0,3.0
41732,1,7,2,-38,8.0,2.0
31696,1,7,2,-34,7.0,1.0
50600,1,7,2,-33,9.0,3.0
19431,1,7,2,-33,6.0,0.0
47638,1,7,2,-33,9.0,3.0
43563,1,7,2,-33,9.0,3.0
21197,1,7,2,-32,11.0,5.0
68410,1,7,2,-32,9.0,3.0
534,1,7,2,-32,11.0,5.0
54433,1,7,2,-26,9.0,3.0
42365,1,7,2,-26,9.0,3.0
2129,1,7,2,-26,9.0,3.0
53272,1,7,2,-25,11.0,5.0
13888,1,7,2,-25,6.0,0.0
57158,1,7,2,-24,9.0,3.0
30235,1,7,2,-24,9.0,3.0
42011,1,7,2,-20,7.0,1.0
9514,1,7,2,-20,9.0,3.0
48132,1,7,2,-19,9.0,3.0
53119,1,7,2,-19,6.0,0.0
5817,1,7,2,-19,8.0,2.0
6786,1,7,2,-18,11.0,5.0
17705,1,7,2,-13,9.0,3.0
55037,1,7,2,-10,8.0,2.0
38198,1,7,2,-6,9.0,3.0
30856,1,7,2,-6,9.0,3.0
56129,1,7,2,-5,9.0,3.0
32840,1,7,2,-5,6.0,0.0
61384,1,7,2,-5,8.0,2.0
5652,1,7,2,-5,8.0,2.0
41372,1,7,2,-4,11.0,5.0
41082,1,7,2,-4,9.0,3.0
56237,3,3,0,-29,6.0,6.0
39645,3,3,0,-28,7.0,7.0
13980,3,3,0,-28,6.0,6.0
38892,3,3,0,-27,7.0,7.0
49606,3,3,0,-23,7.0,7.0
37929,3,3,0,-23,7.0,7.0
30367,3,3,0,-23,5.0,5.0
27580,3,3,0,-20,6.0,6.0
14850,3,3,0,-15,4.0,4.0
50731,3,3,0,-15,7.0,7.0
63721,3,3,0,-15,7.0,7.0
45413,3,3,0,-13,6.0,6.0
62015,3,3,0,-13,7.0,7.0
16222,3,3,0,-13,7.0,7.0
5159,3,3,0,-10,4.0,4.0
42087,3,3,0,-8,7.0,7.0
67484,3,3,0,-8,7.0,7.0
61821,3,3,0,-7,7.0,7.0
59884,3,3,0,-7,7.0,7.0
67783,3,3,0,-6,7.0,7.0
20507,3,3,0,-6,6.0,6.0
43434,3,3,0,-5,7.0,7.0
45158,3,3,0,-5,7.0,7.0
42656,3,3,0,-2,4.0,4.0
46736,3,3,0,-1,4.0,4.0
36490,3,3,0,-1,7.0,7.0
51612,3,3,0,0,7.0,7.0
34461,3,3,0,1,7.0,7.0
9218,4,4,0,26,6.0,6.0
37896,4,4,0,27,6.0,6.0
42530,4,4,0,29,6.0,6.0
17941,4,4,0,29,6.0,6.0
4837,4,4,0,32,3.0,3.0
24885,4,4,0,33,6.0,6.0
35778,4,4,0,34,5.0,5.0
54376,4,4,0,34,3.0,3.0
20872,4,4,0,34,6.0,6.0
9452,4,4,0,36,3.0,3.0
48846,4,4,0,40,6.0,6.0
43464,4,4,0,40,3.0,3.0
21900,4,4,0,40,4.0,4.0
13384,4,4,0,40,6.0,6.0
12860,4,4,0,41,6.0,6.0
18528,4,4,0,41,6.0,6.0
57392,3,3,0,-41,7.0,7.0
11938,3,3,0,-39,4.0,4.0
57210,3,3,0,-37,4.0,4.0
18636,3,3,0,-37,7.0,7.0
9582,3,3,0,-36,7.0,7.0
6079,3,3,0,-36,7.0,7.0
50562,3,3,0,-36,4.0,4.0
51458,3,3,0,-36,6.0,6.0
33264,3,3,0,-36,4.0,4.0
30085,3,3,0,-36,4.0,4.0
49327,3,3,0,-35,6.0,6.0
17054,3,3,0,-35,7.0,7.0
43186,3,3,0,-35,7.0,7.0
64970,3,3,0,-34,4.0,4.0
9597,3,3,0,-30,4.0,4.0
37918,3,3,0,-30,5.0,5.0
52262,3,3,0,-30,7.0,7.0
64463,1,7,2,-3,8.0,2.0
25674,1,7,2,1,9.0,3.0
53568,1,7,2,1,7.0,1.0
36296,4,4,0,-1,6.0,6.0
8502,4,4,0,-1,5.0,5.0
34276,4,4,0,0,8.0,8.0
39857,4,4,0,0,3.0,3.0
43552,4,4,0,1,6.0,6.0
2575,4,4,0,5,6.0,6.0
57403,4,4,0,6,6.0,6.0
59247,4,4,0,7,6.0,6.0
5202,4,4,0,12,4.0,4.0
25534,4,4,0,13,6.0,6.0
29426,4,4,0,14,3.0,3.0
38680,4,4,0,14,6.0,6.0
12381,4,4,0,14,6.0,6.0
16526,4,4,0,15,6.0,6.0
8781,4,4,0,15,6.0,6.0
13145,4,4,0,19,6.0,6.0
23498,4,4,0,20,5.0,5.0
733,4,4,0,20,5.0,5.0
12017,4,4,0,20,6.0,6.0
11910,4,4,0,21,3.0,3.0
19964,4,4,0,22,5.0,5.0
13171,4,4,0,23,5.0,5.0
698,6,10,2,-7,4.0,0.0
20329,4,9,3,-1,6.0,1.0
4517,4,9,3,13,6.0,1.0
35969,4,9,3,-8,6.0,1.0
59968,4,9,3,-1,6.0,1.0
49646,4,9,3,1,6.0,1.0
63539,4,9,3,13,6.0,1.0
29561,6,9,3,-6,4.0,1.0
60141,6,9,3,15,4.0,1.0
27898,6,9,3,20,4.0,1.0
37142,6,9,3,22,4.0,1.0
55708,6,9,3,36,4.0,1.0
44895,6,9,3,52,4.0,1.0
23561,6,9,3,57,4.0,1.0
52131,6,9,3,64,4.0,1.0
23060,1,7,2,-59,9.0,3.0
34683,1,7,2,-31,9.0,3.0
8306,1,7,2,-10,9.0,3.0
4661,1,7,2,-6,9.0,3.0
42528,3,3,0,-27,7.0,7.0
48065,3,3,0,-6,7.0,7.0
52736,3,3,0,-34,7.0,7.0
2370,4,4,0,22,6.0,6.0
31555,3,3,0,11,4.0,4.0
48365,6,10,2,-9,1.0,-3.0
61980,6,10,2,-9,1.0,-3.0
11040,6,10,2,-5,0.0,-4.0
16201,6,10,2,-2,1.0,-3.0
67941,6,10,2,2,0.0,-4.0
29197,6,10,2,2,0.0,-4.0
30222,6,10,2,2,0.0,-4.0
54563,6,10,2,2,0.0,-4.0
43756,6,10,2,5,1.0,-3.0
27055,6,10,2,5,1.0,-3.0
66626,4,9,3,-10,3.0,-2.0
5950,4,9,3,-3,3.0,-2.0
42604,3,9,4,-3,4.0,-2.0
8333,6,9,3,22,0.0,-3.0
6709,6,9,3,25,1.0,-2.0
43041,6,9,3,32,1.0,-2.0
8633,6,9,3,36,0.0,-3.0
34013,6,9,3,43,0.0,-3.0
40835,6,9,3,53,1.0,-2.0
14597,6,9,3,60,1.0,-2.0
29999,1,7,2,-56,6.0,0.0
18170,1,7,2,-49,6.0,0.0
64811,1,7,2,-45,5.0,-1.0
31679,1,7,2,-35,6.0,0.0
3923,1,7,2,-21,6.0,0.0
64231,3,3,0,-6,3.0,3.0
8270,4,4,0,25,3.0,3.0
9480,3,3,0,-31,4.0,4.0
30112,6,10,2,-13,1.0,-3.0
960,6,10,2,-7,4.0,0.0
33350,6,10,2,-1,1.0,-3.0
33498,6,10,2,0,1.0,-3.0
37254,6,10,2,0,4.0,0.0
68485,6,10,2,1,2.0,-2.0
19348,6,10,2,5,1.0,-3.0
59571,4,9,3,-2,3.0,-2.0
57637,4,9,3,-1,6.0,1.0
52587,4,9,3,-1,3.0,-2.0
44423,4,9,3,7,3.0,-2.0
40129,4,9,3,13,6.0,1.0
12985,4,9,3,14,3.0,-2.0
4737,4,9,3,-14,3.0,-2.0
4630,4,9,3,-7,3.0,-2.0
42683,4,9,3,-7,3.0,-2.0
13170,4,9,3,-1,3.0,-2.0
31607,1,7,2,-14,8.0,2.0
30590,1,7,2,-14,8.0,2.0
51546,1,7,2,-14,8.0,2.0
4442,1,7,2,-14,8.0,2.0
68538,1,7,2,-14,8.0,2.0
14998,1,7,2,-14,8.0,2.0
11160,1,7,2,-11,6.0,0.0
21867,1,7,2,-7,6.0,0.0
40489,1,7,2,-7,8.0,2.0
48475,1,7,2,-7,8.0,2.0
36754,1,7,2,-7,8.0,2.0
18551,1,7,2,-7,8.0,2.0
22652,1,7,2,-7,8.0,2.0
42077,1,7,2,-7,8.0,2.0
20441,3,3,0,-7,4.0,4.0
31936,4,4,0,42,3.0,3.0
16725,3,3,0,-35,4.0,4.0
40335,4,4,0,0,3.0,3.0
31902,3,3,0,2,6.0,6.0
60126,6,10,2,-11,3.0,-1.0
22090,4,9,3,9,5.0,0.0
61191,6,9,3,55,5.0,2.0
2321,3,3,0,-21,5.0,5.0
29398,6,10,2,-13,4.0,0.0
29391,4,9,3,-14,6.0,1.0
40583,4,9,3,14,6.0,1.0
55729,4,9,3,1,6.0,1.0
57589,6,9,3,34,4.0,1.0
76,6,9,3,43,4.0,1.0
55521,1,7,2,-54,9.0,3.0
5338,1,7,2,-16,9.0,3.0
59095,1,7,2,-12,9.0,3.0
42967,1,7,2,-9,9.0,3.0
66296,1,7,2,-7,9.0,3.0
60343,1,7,2,-6,9.0,3.0
41689,1,7,2,-6,11.0,5.0
32088,3,3,0,-24,5.0,5.0
55108,3,3,0,-2,7.0,7.0
3166,4,4,0,29,4.0,4.0
11711,3,3,0,-41,7.0,7.0
65318,3,3,0,-34,7.0,7.0
55571,1,7,2,-1,11.0,5.0
62800,1,7,2,0,9.0,3.0
6687,4,4,0,-1,6.0,6.0
38384,4,4,0,0,8.0,8.0
23910,4,4,0,1,6.0,6.0
57644,4,4,0,3,8.0,8.0
26671,4,4,0,9,6.0,6.0
52274,4,4,0,15,6.0,6.0
3893,4,4,0,19,4.0,4.0
27877,3,3,0,5,7.0,7.0
43218,3,3,0,11,5.0,5.0
18135,3,3,0,13,5.0,5.0
30438,6,10,2,-11,2.0,-2.0
60743,6,10,2,-11,2.0,-2.0
65672,6,10,2,-9,2.0,-2.0
30538,6,10,2,-6,4.0,0.0
62397,6,10,2,-6,4.0,0.0
52448,6,10,2,-6,4.0,0.0
21290,6,10,2,-4,4.0,0.0
22892,6,10,2,-4,4.0,0.0
67802,6,10,2,-2,4.0,0.0
34581,6,10,2,-1,2.0,-2.0
46723,6,10,2,-1,2.0,-2.0
35492,6,10,2,-1,4.0,0.0
30176,6,10,2,-1,4.0,0.0
63475,6,10,2,0,4.0,0.0
63732,6,10,2,0,2.0,-2.0
34024,6,10,2,1,2.0,-2.0
21243,6,10,2,1,4.0,0.0
10083,6,10,2,3,4.0,0.0
14434,6,10,2,4,4.0,0.0
50705,6,10,2,4,4.0,0.0
64778,6,10,2,5,2.0,-2.0
4590,6,10,2,8,2.0,-2.0
12757,6,10,2,10,2.0,-2.0
68386,6,10,2,10,2.0,-2.0
23127,6,10,2,10,2.0,-2.0
47472,6,10,2,11,2.0,-2.0
19255,4,9,3,-12,4.0,-1.0
31140,4,9,3,-11,4.0,-1.0
6567,4,9,3,-7,6.0,1.0
60576,4,9,3,-5,6.0,1.0
37690,4,9,3,-5,4.0,-1.0
51058,4,9,3,-4,4.0,-1.0
44720,4,9,3,0,4.0,-1.0
55485,4,9,3,0,6.0,1.0
57195,4,9,3,6,6.0,1.0
47217,4,9,3,7,6.0,1.0
55497,4,9,3,9,4.0,-1.0
33050,4,9,3,9,4.0,-1.0
52294,4,9,3,12,6.0,1.0
51042,4,9,3,16,4.0,-1.0
510,4,9,3,-14,6.0,1.0
2657,4,9,3,-14,4.0,-1.0
26349,4,9,3,-12,4.0,-1.0
37852,4,9,3,-12,4.0,-1.0
47387,4,9,3,-12,6.0,1.0
55684,4,9,3,-12,6.0,1.0
42025,4,9,3,-8,6.0,1.0
62659,4,9,3,-7,6.0,1.0
7868,4,9,3,-7,6.0,1.0
36163,4,9,3,-5,6.0,1.0
28779,4,9,3,-5,6.0,1.0
55139,4,9,3,-4,4.0,-1.0
18442,4,9,3,-4,6.0,1.0
4997,4,9,3,-4,6.0,1.0
6133,4,9,3,-2,6.0,1.0
8470,4,9,3,-2,6.0,1.0
30715,4,9,3,-1,4.0,-1.0
35572,4,9,3,0,6.0,1.0
68400,4,9,3,0,6.0,1.0
28394,4,9,3,0,6.0,1.0
56420,4,9,3,2,8.0,3.0
20050,4,9,3,2,6.0,1.0
56406,4,9,3,3,8.0,3.0
21390,4,9,3,5,6.0,1.0
36009,4,9,3,5,6.0,1.0
42333,4,9,3,6,8.0,3.0
50376,4,9,3,10,8.0,3.0
13921,4,9,3,13,8.0,3.0
66964,4,9,3,14,6.0,1.0
9647,4,9,3,14,8.0,3.0
4621,3,9,4,-13,7.0,1.0
9071,3,9,4,-12,9.0,3.0
14236,3,9,4,-12,7.0,1.0
40324,3,9,4,-10,7.0,1.0
43779,3,9,4,-8,9.0,3.0
1100,3,9,4,-7,7.0,1.0
46417,3,9,4,-7,9.0,3.0
1823,3,9,4,-4,9.0,3.0
2577,3,9,4,-2,7.0,1.0
8999,3,9,4,-2,9.0,3.0
9819,3,9,4,-2,9.0,3.0
13858,3,9,4,-1,9.0,3.0
25683,3,9,4,0,7.0,1.0
27802,3,9,4,0,7.0,1.0
4207,3,9,4,0,9.0,3.0
1572,3,9,4,2,7.0,1.0
53328,3,9,4,3,9.0,3.0
57988,3,9,4,5,9.0,3.0
49191,3,9,4,6,9.0,3.0
67886,3,9,4,8,5.0,-1.0
2893,3,9,4,9,9.0,3.0
9707,3,9,4,9,7.0,1.0
48411,3,9,4,10,9.0,3.0
2516,3,9,4,13,9.0,3.0
13807,3,9,4,13,7.0,1.0
1140,6,9,3,-13,4.0,1.0
10951,6,9,3,-12,4.0,1.0
18020,6,9,3,-11,6.0,3.0
38340,6,9,3,-8,6.0,3.0
28963,6,9,3,-7,7.0,4.0
8719,6,9,3,-7,6.0,3.0
28399,6,9,3,-6,4.0,1.0
22181,6,9,3,-6,6.0,3.0
10895,6,9,3,-5,6.0,3.0
53398,6,9,3,-5,4.0,1.0
33975,6,9,3,-4,6.0,3.0
28125,6,9,3,-4,6.0,3.0
25193,6,9,3,-2,6.0,3.0
65467,6,9,3,-1,6.0,3.0
62412,6,9,3,-1,4.0,1.0
20986,6,9,3,0,7.0,4.0
26023,6,9,3,0,6.0,3.0
9040,6,9,3,1,4.0,1.0
47645,6,9,3,1,6.0,3.0
52361,6,9,3,2,2.0,-1.0
33980,6,9,3,2,4.0,1.0
67720,6,9,3,3,6.0,3.0
43819,6,9,3,6,6.0,3.0
6213,6,9,3,8,6.0,3.0
2165,6,9,3,9,2.0,-1.0
29191,6,9,3,9,4.0,1.0
30219,6,9,3,10,6.0,3.0
520,6,9,3,13,4.0,1.0
32962,6,9,3,13,2.0,-1.0
11619,6,9,3,14,7.0,4.0
67703,6,9,3,14,6.0,3.0
59886,6,9,3,16,2.0,-1.0
23509,6,9,3,20,6.0,3.0
57605,6,9,3,20,7.0,4.0
17969,6,9,3,20,4.0,1.0
53202,6,9,3,21,7.0,4.0
15565,6,9,3,21,6.0,3.0
9727,6,9,3,22,4.0,1.0
40289,6,9,3,22,6.0,3.0
7688,6,9,3,23,6.0,3.0
32932,6,9,3,23,4.0,1.0
62792,6,9,3,24,6.0,3.0
18786,6,9,3,26,6.0,3.0
24801,6,9,3,27,6.0,3.0
16647,6,9,3,28,6.0,3.0
31971,6,9,3,29,4.0,1.0
22730,6,9,3,31,7.0,4.0
14420,6,9,3,33,4.0,1.0
31937,6,9,3,36,4.0,1.0
11557,6,9,3,38,6.0,3.0
64101,6,9,3,41,4.0,1.0
42044,6,9,3,42,7.0,4.0
59276,6,9,3,42,6.0,3.0
37697,6,9,3,43,2.0,-1.0
18596,6,9,3,43,4.0,1.0
1025,6,9,3,43,8.0,5.0
40436,6,9,3,45,7.0,4.0
2484,6,9,3,48,6.0,3.0
13826,6,9,3,48,7.0,4.0
5021,6,9,3,49,6.0,3.0
12228,6,9,3,51,4.0,1.0
52714,6,9,3,52,7.0,4.0
1460,6,9,3,53,6.0,3.0
63796,6,9,3,55,4.0,1.0
43411,6,9,3,56,7.0,4.0
19711,6,9,3,57,4.0,1.0
46300,6,9,3,57,4.0,1.0
27944,6,9,3,59,6.0,3.0
57620,6,9,3,61,6.0,3.0
26000,6,9,3,61,4.0,1.0
7911,6,9,3,62,7.0,4.0
18656,6,9,3,63,6.0,3.0
38098,1,7,2,-64,11.0,5.0
57631,1,7,2,-62,11.0,5.0
14940,1,7,2,-61,9.0,3.0
22636,1,7,2,-61,9.0,3.0
32053,1,7,2,-60,12.0,6.0
64851,1,7,2,-59,9.0,3.0
35093,1,7,2,-58,12.0,6.0
18845,1,7,2,-57,9.0,3.0
32439,1,7,2,-57,11.0,5.0
19276,1,7,2,-55,11.0,5.0
67929,1,7,2,-51,9.0,3.0
3506,1,7,2,-50,12.0,6.0
38245,1,7,2,-50,11.0,5.0
49120,1,7,2,-49,11.0,5.0
2544,1,7,2,-47,9.0,3.0
38244,1,7,2,-46,12.0,6.0
12211,1,7,2,-45,9.0,3.0
48832,1,7,2,-43,11.0,5.0
41997,1,7,2,-41,11.0,5.0
21628,1,7,2,-41,9.0,3.0
15291,1,7,2,-39,11.0,5.0
22464,1,7,2,-38,9.0,3.0
39359,1,7,2,-36,7.0,1.0
46759,1,7,2,-36,11.0,5.0
67986,1,7,2,-33,9.0,3.0
14693,1,7,2,-32,12.0,6.0
38596,1,7,2,-32,9.0,3.0
60069,1,7,2,-31,7.0,1.0
67722,1,7,2,-29,11.0,5.0
54733,1,7,2,-27,9.0,3.0
59825,1,7,2,-27,11.0,5.0
67184,1,7,2,-26,7.0,1.0
50583,1,7,2,-24,11.0,5.0
1837,1,7,2,-23,9.0,3.0
8398,1,7,2,-22,12.0,6.0
27275,1,7,2,-22,7.0,1.0
45479,1,7,2,-22,11.0,5.0
62551,1,7,2,-21,11.0,5.0
10289,1,7,2,-21,9.0,3.0
48708,1,7,2,-18,12.0,6.0
